block,instr_file,trial_file,index,Block,Stim,SoundFile,Condition,Correct,B1.thisRepN,B1.thisTrialN,B1.thisN,B1.thisIndex,instructions.thisRepN,instructions.thisTrialN,instructions.thisN,instructions.thisIndex,B1_trials.thisRepN,B1_trials.thisTrialN,B1_trials.thisN,B1_trials.thisIndex,vocal_RT,bad_baseline,filename,participant,session,date,expName,psychopyVersion,frameRate,
1_Practice,DPT_prac_instr.xlsx,DPT_prac.xlsx,5,Block_1pr,Goose,C:\Users\Jordan\Documents\Experiment Building\PsychoPy Audio Files\Goose.wav,Not Manmade,No,0,0,0,0,,,,,0,0,0,5,0.43,False,data/trial_Block_1pr000_Goose.wav,1,001,2019_Nov_19_1516,Dual Task,3.1.5,59.998260050415176,
1_Practice,DPT_prac_instr.xlsx,DPT_prac.xlsx,5,Block_1pr,Goose,C:\Users\Jordan\Documents\Experiment Building\PsychoPy Audio Files\Goose.wav,Not Manmade,No,0,0,0,0,,,,,0,0,0,5,,,,1,001,2019_Nov_19_1516,Dual Task,3.1.5,59.998260050415176,
